,path_or_url,file,line,text
78,/opencensus-microservices-demo/currencyservice,/mnt/data/hipster-shop/opencensus-microservices-demo/kubernetes-manifests/currencyservice.yaml,28,image: gcr.io/opencensus-microservices-demo/currencyservice
79,/bin/grpc_health_probe,/mnt/data/hipster-shop/opencensus-microservices-demo/kubernetes-manifests/currencyservice.yaml,34,"command: [""/bin/grpc_health_probe"", ""-addr=:7000""]"
81,/v1beta1,/mnt/data/hipster-shop/opencensus-microservices-demo/kubernetes-manifests/shippingservice.yaml,15,apiVersion: extensions/v1beta1
82,/opencensus-microservices-demo/shippingservice,/mnt/data/hipster-shop/opencensus-microservices-demo/kubernetes-manifests/shippingservice.yaml,27,image: gcr.io/opencensus-microservices-demo/shippingservice
83,/bin/grpc_health_probe,/mnt/data/hipster-shop/opencensus-microservices-demo/kubernetes-manifests/shippingservice.yaml,33,"command: [""/bin/grpc_health_probe"", ""-addr=:50051""]"
85,/v1beta1,/mnt/data/hipster-shop/opencensus-microservices-demo/kubernetes-manifests/redis.yaml,15,apiVersion: extensions/v1beta1
86,/data,/mnt/data/hipster-shop/opencensus-microservices-demo/kubernetes-manifests/redis.yaml,39,- mountPath: /data
87,/v1beta1,/mnt/data/hipster-shop/opencensus-microservices-demo/kubernetes-manifests/adservice.yaml,15,apiVersion: extensions/v1beta1
88,/opencensus-microservices-demo/adservice,/mnt/data/hipster-shop/opencensus-microservices-demo/kubernetes-manifests/adservice.yaml,28,image: gcr.io/opencensus-microservices-demo/adservice
89,/update,/mnt/data/hipster-shop/opencensus-microservices-demo/src/grafana/provisioning/datasources/prometheus.yaml,4,# list of datasources to insert/update depending
90,http://prometheus:9090,/mnt/data/hipster-shop/opencensus-microservices-demo/src/grafana/provisioning/datasources/prometheus.yaml,16,url: http://prometheus:9090
91,/etc/grafana/provisioning/dashboards/,/mnt/data/hipster-shop/opencensus-microservices-demo/src/grafana/provisioning/dashboards/prometheus.yml,11,path: /etc/grafana/provisioning/dashboards/
92,/metrics,/mnt/data/hipster-shop/opencensus-microservices-demo/src/prometheus/prometheus.yml,25,# metrics_path defaults to '/metrics'
